Ticker,1D_Price,1D_MACD_Black,1D_MACD_Red,1D_RSI_2,1D_RSI_14,1D_Stoch_K_Black,1D_Stoch_D_Red,1D_NVI_Black,1D_NVI_Red,15m_Price,15m_MACD_Black,15m_MACD_Red,15m_RSI_2,15m_RSI_14,15m_Stoch_K_Black,15m_Stoch_D_Red,15m_NVI_Black,15m_NVI_Red
360ONE.NS,1076.45,-9.85,-25.58,98.09,61.27,98.98,98.84,44.49,53.65,1080.0,5.33,4.5,98.81,73.96,100.0,94.15,96.89,96.55
3MINDIA.NS,31265.0,-777.8,-1014.76,44.77,44.98,96.15,95.74,42.71,54.95,31265.0,-46.42,-33.68,7.16,37.15,30.86,32.62,99.86,99.53
ABB.NS,6883.5,217.54,155.56,90.71,70.53,97.15,97.61,119.06,116.5,6875.0,3.85,-7.98,47.62,57.68,93.14,96.95,98.27,98.35
ACC.NS,1442.8,-20.98,-43.01,84.76,53.03,97.91,97.05,114.53,110.13,1444.1,3.01,1.82,78.9,64.52,94.6,90.64,103.8,101.29
ACMESOLAR.NS,287.45,12.2,10.81,89.97,66.53,95.42,81.13,37.06,52.11,287.95,0.04,-0.05,91.72,57.66,98.53,80.5,94.1,94.22
AIAENG.NS,3925.3,31.71,-17.65,96.44,63.21,100.0,98.31,79.08,87.96,3925.3,-2.29,3.19,48.28,44.75,10.92,5.43,104.91,104.41
APLAPOLLO.NS,2045.3,-9.55,-26.48,65.77,52.86,78.6,82.44,97.42,97.75,2045.3,4.38,3.54,24.05,58.08,80.71,90.75,99.76,101.1
AUBANK.NS,983.95,10.0,-4.88,89.35,60.33,99.04,98.78,99.33,102.07,983.95,0.06,-0.53,59.48,54.38,87.1,93.01,96.0,95.22
AWL.NS,182.09,-1.94,-3.03,60.76,48.84,78.04,68.93,15.55,22.94,182.07,-0.04,-0.09,28.03,50.57,93.13,97.71,99.56,99.65
AADHARHFC.NS,491.6,3.22,-0.58,88.6,60.57,91.77,91.77,42.9,51.52,493.0,2.86,3.01,59.78,62.44,41.97,54.11,90.02,91.49
AARTIIND.NS,437.9,0.8,-1.92,99.02,57.13,99.89,98.05,35.96,50.64,437.95,2.04,1.71,42.77,63.35,73.42,83.14,91.24,91.59
AAVAS.NS,1308.3,13.47,-15.02,98.83,66.12,100.0,100.0,68.73,70.6,1312.0,3.09,4.08,70.82,58.96,13.34,5.19,104.85,100.2
ABBOTINDIA.NS,25860.0,-263.93,-259.39,48.35,44.43,51.83,53.42,82.4,84.04,25830.0,-23.44,-20.38,11.78,44.31,61.11,66.67,102.05,101.15
ACE.NS,915.15,12.33,-1.78,80.67,62.0,92.71,93.72,73.74,75.19,915.0,1.38,0.82,98.58,61.69,100.0,96.52,100.41,99.12
ADANIENSOL.NS,1222.6,47.42,21.0,96.84,74.17,99.12,99.41,16.57,17.74,1228.0,9.38,6.38,90.39,78.22,94.86,96.51,111.29,106.33
ADANIENT.NS,2203.7,24.05,-21.2,99.27,66.23,100.0,99.89,73.29,73.58,2203.7,8.64,5.71,74.02,71.73,91.16,95.04,102.22,100.14
ADANIGREEN.NS,1118.9,51.99,21.52,99.9,76.08,100.0,100.0,33.87,36.83,1124.0,3.7,2.33,99.16,75.04,100.0,86.97,102.37,101.47
ADANIPORTS.NS,1549.8,16.98,-6.35,95.67,65.31,98.05,97.66,101.89,101.24,1545.0,9.2,9.18,17.07,62.93,41.63,47.67,94.78,94.5
ADANIPOWER.NS,193.19,10.04,6.74,99.97,84.69,100.0,100.0,46.12,51.63,193.8,1.89,1.29,99.13,79.45,100.0,97.22,95.55,94.91
ATGL.NS,597.6,14.5,6.76,89.31,63.9,94.67,92.26,13.8,23.64,600.1,2.47,1.72,92.72,72.45,97.02,94.74,85.65,87.96
ABCAPITAL.NS,337.95,2.73,-2.34,41.54,56.0,93.12,95.19,56.29,58.2,338.25,-0.89,-1.02,20.63,40.35,75.29,80.3,96.81,96.26
ABFRL.NS,63.78,-0.41,-1.51,92.66,56.99,99.86,98.69,37.35,50.92,64.0,0.12,0.03,88.45,65.66,95.92,97.28,94.95,95.06
ABREL.NS,1422.0,35.91,-1.24,99.86,70.58,100.0,100.0,39.56,48.9,1415.0,1.06,1.36,10.01,47.29,69.5,86.13,97.57,97.28
ABSLAMC.NS,1049.8,31.21,19.76,97.71,66.38,100.0,97.93,45.99,54.41,1052.0,3.05,1.12,77.58,62.77,80.7,83.69,90.17,88.76
AEGISLOG.NS,659.55,-3.81,-13.53,85.96,58.42,92.95,91.83,34.61,51.89,659.0,0.1,0.53,4.95,47.19,3.31,4.61,91.92,94.72
AFCONS.NS,346.95,8.07,-0.22,85.7,70.03,87.7,88.25,69.87,74.85,346.0,0.87,1.02,30.32,50.78,33.69,53.51,95.45,101.46
AFFLE.NS,1446.8,0.25,-11.4,94.34,56.06,90.03,82.32,42.88,61.09,1450.0,7.18,6.0,82.55,64.93,50.73,50.76,108.55,107.81
AJANTPHARM.NS,2827.6,-27.72,-33.12,33.67,47.57,86.71,80.76,58.42,64.35,2827.6,-8.35,-11.46,47.5,43.48,90.87,93.99,91.45,94.1
ALKEM.NS,5570.0,1.55,-41.05,82.85,58.66,92.84,93.17,87.72,82.39,5545.0,7.11,7.94,12.56,46.12,53.01,74.63,102.84,100.67
ABDL.NS,539.5,13.09,-3.12,93.86,70.84,97.33,97.37,64.37,78.06,539.8,4.84,4.84,97.23,67.45,67.76,47.26,101.55,101.66
ARE&M.NS,772.7,-13.66,-22.59,94.61,53.78,96.66,93.96,59.29,62.3,774.2,2.98,2.21,99.98,72.12,100.0,99.34,108.23,104.3
AMBER.NS,7714.5,75.52,-66.04,95.3,64.6,97.88,97.18,35.33,37.41,7714.5,54.73,53.58,34.44,66.61,76.89,86.27,93.65,93.69
AMBUJACEM.NS,458.05,-5.72,-13.56,86.48,54.54,98.09,96.34,87.2,97.47,458.5,1.01,0.69,80.9,63.36,97.03,93.1,90.93,92.25
ANANDRATHI.NS,3632.9,148.37,91.48,70.64,81.07,97.81,99.27,97.38,96.67,3650.0,-4.48,-4.19,98.46,55.01,39.7,16.1,105.98,104.3
ANANTRAJ.NS,510.0,0.81,-8.84,93.44,59.39,98.83,97.73,27.92,43.95,512.0,1.84,1.31,99.57,71.4,100.0,97.8,98.71,96.74
ANGELONE.NS,292.61,14.3,7.31,65.59,71.87,94.25,96.9,100.14,111.05,292.5,-0.45,-0.65,71.04,51.32,98.96,96.39,98.53,98.03
ANURAS.NS,1266.4,3.35,-0.52,27.39,50.74,77.56,87.39,69.1,74.04,1266.4,-2.63,-2.67,7.63,37.15,54.47,68.58,88.39,90.98
